Question,Path,Section,FinalPath,TemplateKey,SkeletonKey
How do security experts typically prevent and respond to FALLCHILL and BlackEnergy 3?,<PATH>is_malware_type<SEP>select FALLCHILL BlackEnergy 3<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action</PATH>,common_and_differences,is_malware_type<SEP>select FALLCHILL BlackEnergy 3<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action
What are the distinct effects of Exodus and Pandora on a computer?,<PATH>is_malware_type<SEP>select Exodus Pandora<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type</PATH>,common_and_differences,is_malware_type<SEP>select Exodus Pandora<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type
What types of systems are most frequently affected by Gelsemium and Hikit?,<PATH>is_malware_type<SEP>select Gelsemium Hikit<SEP>uses_attack_pattern<SEP>targets<SEP>exec_common x_mitre_asset</PATH>,common_and_differences,is_malware_type<SEP>select Gelsemium Hikit<SEP>uses_attack_pattern<SEP>targets<SEP>exec_common x_mitre_asset,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>targets<SEP>exec_common x_mitre_asset,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>targets<SEP>exec_common x_mitre_asset
What are the various techniques employed by malware that conduct DDoS attacks and malware that execute SQL Injection?,<PATH>is_malware_type<SEP>filter SQL<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>filter DDoS<SEP>exec_difference attack pattern</PATH>,common_and_differences,is_malware_type<SEP>filter SQL<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>filter DDoS<SEP>exec_difference attack pattern,common_and_differences||is_malware_type<SEP>filter SQL<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>filter DDoS<SEP>exec_difference attack pattern,common_and_differences||is_malware_type<SEP>filter<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>filter<SEP>exec_difference attack pattern
What are the common techniques used by security software to detect and neutralize Grandoreiro and CreepySnail?,<PATH>is_malware_type<SEP>select Grandoreiro CreepySnail<SEP>uses_attack_pattern<SEP>detected_by<SEP>exec_common x_mitre_data_component</PATH>,common_and_differences,is_malware_type<SEP>select Grandoreiro CreepySnail<SEP>uses_attack_pattern<SEP>detected_by<SEP>exec_common x_mitre_data_component,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>detected_by<SEP>exec_common x_mitre_data_component,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>detected_by<SEP>exec_common x_mitre_data_component
"What countermeasures can be employed to prevent Uroburos and BOOTRASH, and are there any overlapping solutions?",<PATH>is_malware_type<SEP>select Uroburos BOOTRASH<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action</PATH>,common_and_differences,is_malware_type<SEP>select Uroburos BOOTRASH<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action
"What strategies can be implemented to safeguard against Squirrelwaffle and Hi-Zor, and do they share any commonalities?",<PATH>is_malware_type<SEP>select Squirrelwaffle Hi-Zor<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action</PATH>,common_and_differences,is_malware_type<SEP>select Squirrelwaffle Hi-Zor<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action
What detection techniques are commonly utilized against Trojan-SMS.AndroidOS.Agent.ao and P2P ZeuS?,<PATH>is_malware_type<SEP>select Trojan-SMS.AndroidOS.Agent.ao P2P ZeuS<SEP>uses_attack_pattern<SEP>detected_by<SEP>exec_common x_mitre_data_component</PATH>,common_and_differences,is_malware_type<SEP>select Trojan-SMS.AndroidOS.Agent.ao P2P ZeuS<SEP>uses_attack_pattern<SEP>detected_by<SEP>exec_common x_mitre_data_component,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>detected_by<SEP>exec_common x_mitre_data_component,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>detected_by<SEP>exec_common x_mitre_data_component
Which systems are typically targeted by P.A.S. Webshell and Cadelspy in a malicious attack?,<PATH>is_malware_type<SEP>select P.A.S. Webshell Cadelspy<SEP>uses_attack_pattern<SEP>targets<SEP>exec_common x_mitre_asset</PATH>,common_and_differences,is_malware_type<SEP>select P.A.S. Webshell Cadelspy<SEP>uses_attack_pattern<SEP>targets<SEP>exec_common x_mitre_asset,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>targets<SEP>exec_common x_mitre_asset,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>targets<SEP>exec_common x_mitre_asset
How do MiniDuke and AvosLocker cause varying degrees of harm to a system?,<PATH>is_malware_type<SEP>select MiniDuke AvosLocker<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type</PATH>,common_and_differences,is_malware_type<SEP>select MiniDuke AvosLocker<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type
In what respects do OnionDuke and ftp share similar methodologies?,<PATH>is_tool_type<SEP>select ftp<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select OnionDuke<SEP>exec_common attack_pattern</PATH>,common_and_differences,is_tool_type<SEP>select ftp<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select OnionDuke<SEP>exec_common attack_pattern,common_and_differences||is_tool_type<SEP>select<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select<SEP>exec_common attack_pattern,common_and_differences||is_tool_type<SEP>select<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select<SEP>exec_common attack_pattern
