category,metric,subgroup,value,notes
paper_audit,template_count_claimed,paper text,700,Paper states 'more than 700 question templates'
paper_audit,template_count_actual,utils/useful_cot.yaml,454,grep -c '^\s*- question:' on the YAML; 467 path: entries (some paths reused across question variants)
leakage_original_split,test_rows_sharing_template_with_train,"CoT, select-args stripped",13931/13931 = 100.0%,Every original test row's normalized path (Section+path with select args stripped) also occurs in train
leakage_original_split,test_rows_sharing_template_with_train,"CoT, select+filter-args stripped",13931/13931 = 100.0%,
leakage_original_split,distinct_templates,train (select-stripped),298,
leakage_original_split,distinct_templates,test (select-stripped),274,All 274 also present in train
leakage_original_split,exact_question_string_overlap,test rows verbatim in train,34/13931 = 0.24%,
leakage_original_split,CoT_vs_NoCoT_question_overlap,train,7789/74165 = 10.5%,CoT and NoCoT paper datasets were drawn from different paraphrase samples of the same templates -- not the same underlying questions
leakage_original_split,CoT_vs_NoCoT_question_overlap,test,1478/13927 = 10.6%,
new_split_summary,rows,train,65529,
new_split_summary,distinct_templates,train,228,
new_split_sections,rows[train],multi_hop_relationship,21275,
new_split_sections,rows[train],intra_relationship,16419,
new_split_sections,rows[train],single_hop_not_filter,12575,
new_split_sections,rows[train],single_hop_relationship_filter,7155,
new_split_sections,rows[train],multihop_one_entity_filter,5176,
new_split_sections,rows[train],entity_in_path,1159,
new_split_sections,rows[train],multi_with_more_filter,556,
new_split_sections,rows[train],common_and_differences,408,
new_split_sections,rows[train],multihop_no_entity,354,
new_split_sections,rows[train],other_double_entity,298,
new_split_sections,rows[train],double_entity,128,
new_split_sections,rows[train],multifilter,26,
new_split_path_length,rows[train],length=1,27048,
new_split_path_length,rows[train],length=2,26247,
new_split_path_length,rows[train],length=3,6535,
new_split_path_length,rows[train],length=4,4003,
new_split_path_length,rows[train],length=5,994,
new_split_path_length,rows[train],length=6,695,
new_split_path_length,rows[train],length=7,7,
new_split_operators,rows[train],filter,18634,
new_split_operators,rows[train],select,951,
new_split_operators,rows[train],exec_common,1336,
new_split_operators,rows[train],exec_difference,176,
new_split_summary,rows,val,3855,
new_split_summary,distinct_templates,val,186,
new_split_sections,rows[val],multi_hop_relationship,1250,
new_split_sections,rows[val],intra_relationship,966,
new_split_sections,rows[val],single_hop_not_filter,740,
new_split_sections,rows[val],single_hop_relationship_filter,421,
new_split_sections,rows[val],multihop_one_entity_filter,304,
new_split_sections,rows[val],entity_in_path,68,
new_split_sections,rows[val],multi_with_more_filter,33,
new_split_sections,rows[val],common_and_differences,24,
new_split_sections,rows[val],multihop_no_entity,21,
new_split_sections,rows[val],other_double_entity,18,
new_split_sections,rows[val],double_entity,8,
new_split_sections,rows[val],multifilter,2,
new_split_path_length,rows[val],length=1,1619,
new_split_path_length,rows[val],length=2,1490,
new_split_path_length,rows[val],length=3,411,
