Question,Path,Section
What is the nature of the attacks launched by FlawedGrace that utilize the AttachUserPolicy API?,<PATH>uses_attack_pattern<SEP>filter AttachUserPolicy</PATH>,multihop_one_entity_filter
Which malicious attacks carried out by SQLRat utilize Group Policy Objects as a mechanism?,<PATH>uses_attack_pattern<SEP>filter GPO</PATH>,multihop_one_entity_filter
Which systems are the primary focus of malware attacks aimed at EXOTIC LILY's ICS devices?,<PATH>uses_malware<SEP>filter ICS<SEP>uses_attack_pattern<SEP>targets</PATH>,multihop_one_entity_filter
Which platforms or environments are most frequently exploited by the spyware techniques of The White Company?,<PATH>uses_malware<SEP>filter spyware<SEP>uses_attack_pattern<SEP>x_mitre_platforms</PATH>,multihop_one_entity_filter
What types of attacks do BadPatch carry out that involve the Wake-on-LAN functionality?,<PATH>uses_attack_pattern<SEP>filter Wake-on-LAN</PATH>,multihop_one_entity_filter
What are the characteristics of.NET malware involved in the Chimera campaign?,<PATH>is_responsible<SEP>uses_malware<SEP>filter .NET<SEP>uses_attack_pattern</PATH>,multihop_one_entity_filter
Which platforms are commonly affected by the backdoor malware used by Ember Bear and what are the implications of this?,<PATH>uses_malware<SEP>filter backdoor<SEP>uses_attack_pattern<SEP>x_mitre_platforms</PATH>,multihop_one_entity_filter
Which systems are the primary focus of malware attacks aimed at DragonOK's ICS devices?,<PATH>uses_malware<SEP>filter ICS<SEP>uses_attack_pattern<SEP>targets</PATH>,multihop_one_entity_filter
What are the specific attacks launched by Keydnap that leverage the AttachUserPolicy API?,<PATH>uses_attack_pattern<SEP>filter AttachUserPolicy</PATH>,multihop_one_entity_filter
What are the specific attacks launched by Monokle that leverage the AttachUserPolicy API?,<PATH>uses_attack_pattern<SEP>filter AttachUserPolicy</PATH>,multihop_one_entity_filter
In what ways do attackers leverage HUI Loader to compromise systems using Group Policy Objects?,<PATH>uses_attack_pattern<SEP>filter GPO</PATH>,multihop_one_entity_filter
What platforms do the techniques of spyware employed by Deep Panda utilize?,<PATH>uses_malware<SEP>filter spyware<SEP>uses_attack_pattern<SEP>x_mitre_platforms</PATH>,multihop_one_entity_filter
Which techniques of token stealing are characteristic of AvosLocker?,<PATH>uses_attack_pattern<SEP>filter token and steal</PATH>,multihop_one_entity_filter
On which platforms do trojans typically spread during a Operation Wocao?,<PATH>uses_malware<SEP>filter trojan<SEP>uses_attack_pattern<SEP>x_mitre_platforms</PATH>,multihop_one_entity_filter
What are the specific attacks carried out by Gamaredon Group that involve the CreatePolicyVersion API?,<PATH>uses_attack_pattern<SEP>filter CreatePolicyVersion</PATH>,multihop_one_entity_filter
What are the primary types of attacks that SDBot conducts using Group Policy Objects as a key component?,<PATH>uses_attack_pattern<SEP>filter GPO</PATH>,multihop_one_entity_filter
What types of attacks do FlyTrap use to infiltrate Active Directories?,<PATH>uses_attack_pattern<SEP>filter Active and Directory</PATH>,multihop_one_entity_filter
Which Office-related techniques do SLOWDRIFT use to infect systems and evade detection?,<PATH>uses_attack_pattern<SEP>filter Office</PATH>,multihop_one_entity_filter
Which attacks by APT3 rely on net group for their operation?,<PATH>uses_attack_pattern<SEP>filter net and group</PATH>,multihop_one_entity_filter
Which attacks are associated with the APT18 that utilize the CreatePolicyVersion API for malicious purposes?,<PATH>uses_attack_pattern<SEP>filter CreatePolicyVersion</PATH>,multihop_one_entity_filter
What malicious operations utilize Wake-on-LAN and are perpetrated by Android Overlay Malware?,<PATH>uses_attack_pattern<SEP>filter Wake-on-LAN</PATH>,multihop_one_entity_filter
What are the key strategies for mitigating the risks associated with.NET-based malware used by Machete?,<PATH>uses_malware<SEP>filter .NET<SEP>uses_attack_pattern<SEP>mitigated_by</PATH>,multihop_one_entity_filter
What are the Wake-on-LAN-enabled attacks that ServHelper executes?,<PATH>uses_attack_pattern<SEP>filter Wake-on-LAN</PATH>,multihop_one_entity_filter
How do HilalRAT exploit Office for malicious purposes?,<PATH>uses_attack_pattern<SEP>filter Office</PATH>,multihop_one_entity_filter
What are the token stealing techniques that are commonly employed by Tiktok Pro to compromise security?,<PATH>uses_attack_pattern<SEP>filter token and steal</PATH>,multihop_one_entity_filter
What are the key attack techniques used by Gustuff that involve the manipulation of Group Policy Objects?,<PATH>uses_attack_pattern<SEP>filter GPO</PATH>,multihop_one_entity_filter
What are the attacks executed by MuddyWater that utilize the net group protocol?,<PATH>uses_attack_pattern<SEP>filter net and group</PATH>,multihop_one_entity_filter
What are the specific attacks launched by Darkmoon that leverage the AttachUserPolicy API?,<PATH>uses_attack_pattern<SEP>filter AttachUserPolicy</PATH>,multihop_one_entity_filter
What types of attacks do MoleNet carry out that involve the Wake-on-LAN functionality?,<PATH>uses_attack_pattern<SEP>filter Wake-on-LAN</PATH>,multihop_one_entity_filter
What techniques are used by APT3 that incorporate ABAC policies for access control?,<PATH>uses_attack_pattern<SEP>filter ABAC</PATH>,multihop_one_entity_filter
In what ways do attackers leverage EnvyScout to compromise systems using Group Policy Objects?,<PATH>uses_attack_pattern<SEP>filter GPO</PATH>,multihop_one_entity_filter
What systems or devices are commonly compromised by the RPC-based backdoor used by Bouncing Golf?,<PATH>uses_malware<SEP>filter RPC-based backdoor<SEP>uses_attack_pattern<SEP>targets</PATH>,multihop_one_entity_filter
Which malicious activities involve the use of Wake-on-LAN by GreyEnergy?,<PATH>uses_attack_pattern<SEP>filter Wake-on-LAN</PATH>,multihop_one_entity_filter
What are the Office-related methods used by PowerPunch to spread malware?,<PATH>uses_attack_pattern<SEP>filter Office</PATH>,multihop_one_entity_filter
What are the Wake-on-LAN-based attacks carried out by GrimAgent?,<PATH>uses_attack_pattern<SEP>filter Wake-on-LAN</PATH>,multihop_one_entity_filter
What types of attacks do Hi-Zor employ that involve the use of the AttachUserPolicy API?,<PATH>uses_attack_pattern<SEP>filter AttachUserPolicy</PATH>,multihop_one_entity_filter
What types of attacks do Wingbird employ that utilize Wake-on-LAN?,<PATH>uses_attack_pattern<SEP>filter Wake-on-LAN</PATH>,multihop_one_entity_filter
Which techniques are employed by APT5 to enforce ABAC policies?,<PATH>uses_attack_pattern<SEP>filter ABAC</PATH>,multihop_one_entity_filter
What are the techniques of C or C++ malware employed by FIN6 in their attacks?,<PATH>uses_malware<SEP>filter C or C++<SEP>uses_attack_pattern</PATH>,multihop_one_entity_filter
