Question,Section,path,n_gold,known_gold_bug,n_sparql,match
What proactive measure can be taken to protect against Gustuff attacks?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,24,False,24,True
What is the nature of the Suckfly's behavior?,single_hop_not_filter,uses_attack_pattern,6,False,6,True
What is the primary platform associated with Ping?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,3,False,3,True
What is the primary goal of Detect App Analysis Environment?,intra_relationship,x_mitre_tactic_type,1,False,1,True
What countermeasure can be taken to minimize the effects of AuditCred on a computer network?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,32,False,32,True
What kinds of protection do MacMa techniques usually sidestep?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,4,False,4,True
What type of platform is often compromised by Malicious Link malware?,intra_relationship,x_mitre_platforms,1,False,1,True
Which platforms are most vulnerable to the attacks carried out by the Volt Typhoon?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,7,False,7,True
What is the relationship between the Intelligent Electronic Device (IED) and the BITS Jobs?,other_double_entity,is_attack_pattern_type<SEP>select BITS Jobs<SEP>targets<SEP>select Intelligent Electronic Device (IED),1,False,1,True
What methods does Component Object Model Hijacking employ to evade security defenses?,intra_relationship,x_mitre_defense_bypassed,1,False,1,True
What defensive strategy is most effective in mitigating the risks associated with FoggyWeb?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,41,False,41,True
"What type of malware, specifically a backdoor or ransomware, is associated with the HEXANE?",single_hop_relationship_filter,uses_malware<SEP>filter ransomware or backdoor,4,False,4,True
What approach does the Thrip typically use to carry out its operations?,single_hop_not_filter,uses_attack_pattern,5,False,5,True
What are the steps involved in identifying and removing Shark?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,26,False,26,True
"What asset is the main focus of the attack pattern that incorporates PowerShell scripts, used by the HermeticWizard?",multi_hop_relationship,uses_attack_pattern<SEP>filter PowerShell<SEP>targets,12,False,12,True
What type of behavior is typical for the P2P ZeuS?,single_hop_not_filter,uses_attack_pattern,2,False,2,True
What kind of behavior is characteristic of the PlugX?,single_hop_not_filter,uses_attack_pattern,39,False,39,True
What crucial tactic is employed to counter the threat posed by SPACESHIP?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,11,False,11,True
For which platform is Power Settings primarily intended?,intra_relationship,x_mitre_platforms,1,False,1,True
What is the intention behind Stolen Developer Credentials or Signing Keys?,intra_relationship,x_mitre_tactic_type,1,False,1,True
How does the Stealth Mango function?,single_hop_not_filter,uses_attack_pattern,21,False,21,True
What are the essential measures to prevent and mitigate the methods employed by RTM?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,71,False,71,True
Can you tell me about the techniques used to detect Remexi?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,24,False,24,True
"What asset is the main focus of the attack pattern that incorporates PowerShell scripts, used by the STARWHALE?",multi_hop_relationship,uses_attack_pattern<SEP>filter PowerShell<SEP>targets,6,False,6,True
How can one determine if a computer has been infected with UBoatRAT?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,18,False,18,True
On which platform is Compiled HTML File typically deployed or executed?,intra_relationship,x_mitre_platforms,1,False,1,True
What is the identity of the backdoor or ransomware used by the TA2541?,single_hop_relationship_filter,uses_malware<SEP>filter ransomware or backdoor,1,False,1,True
Which platform serves as the primary focus for Python attacks?,intra_relationship,x_mitre_platforms,1,False,1,True
"Does the TAINTEDSCRIBE contain a backdoor component, and if it does, how does it execute the Dynamic-link Library Injection?",double_entity,is_malware_type<SEP>select TAINTEDSCRIBE<SEP>filter backdoor<SEP>uses_attack_pattern<SEP>select Dynamic-link Library Injection,1,False,1,True
What backdoor or ransomware is a hallmark of the SolarWinds Compromise?,single_hop_relationship_filter,uses_malware<SEP>filter ransomware or backdoor,3,False,3,True
For what type of platform is Clear Windows Event Logs considered a significant threat?,intra_relationship,x_mitre_platforms,1,False,1,True
What defensive strategy is most effective in mitigating the risks associated with HOMEFRY?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,21,False,21,True
Identify the security protocols that Signed Script Proxy Execution can circumvent.,intra_relationship,x_mitre_defense_bypassed,2,False,2,True
Can you tell me about the techniques used to detect MegaCortex?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,37,False,37,True
What behavior can be expected from the Patchwork?,single_hop_not_filter,uses_attack_pattern,49,False,49,True
Which platform is the target audience for ifconfig?,intra_relationship,x_mitre_platforms,1,False,1,True
What technique does the BITTER employ?,single_hop_not_filter,uses_attack_pattern,18,False,18,True
"In the Operation Wocao, which security measure has been compromised?",single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,12,False,12,True
How do Kobalos tactics avoid detection by security systems?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,5,False,5,True
What are the primary characteristics of the StrifeWater's behavior?,single_hop_not_filter,uses_attack_pattern,15,False,15,True
What types of safeguards are typically outsmarted by Ngrok tactics?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,2,False,2,True
Which platform does Trap target or operate on?,intra_relationship,x_mitre_platforms,2,False,2,True
What security measures are vulnerable to User Activity Based Checks?,intra_relationship,x_mitre_defense_bypassed,1,False,1,True
What technique does the Tropic Trooper employ?,single_hop_not_filter,uses_attack_pattern,45,False,45,True
What defensive techniques can be compromised by Signed Binary Proxy Execution?,intra_relationship,x_mitre_defense_bypassed,2,False,2,True
What signs or symptoms indicate the presence of S-Type in a computer?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,40,False,40,True
Can you list the alternative names for the ALLANITE group?,intra_relationship,aliases,1,False,1,True
What backdoor or ransomware tool is employed by the APT29?,single_hop_relationship_filter,uses_malware<SEP>filter ransomware or backdoor,13,False,13,True
Can you tell me about the techniques used to detect GoldFinder?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,7,False,7,True
On which platform is Standard Application Layer Protocol typically deployed or executed?,intra_relationship,x_mitre_platforms,5,False,5,True
What characteristics does the HUI Loader exhibit?,single_hop_not_filter,uses_attack_pattern,3,False,3,True
Which key approach helps to neutralize the impact of XAgentOSX on a system?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,32,False,32,True
Which defensive strategies are commonly bypassed by Gustuff attacks?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,4,False,4,True
"What asset is typically compromised by the attack pattern involving PowerShell scripts, which is used by the MoonWind?",multi_hop_relationship,uses_attack_pattern<SEP>filter PowerShell<SEP>targets,7,False,7,True
How can ServHelper be identified and removed from a network?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,33,False,33,True
What are the steps involved in identifying and removing SHUTTERSPEED?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,13,False,13,True
What type of platform is often compromised by Domain Controller Authentication malware?,intra_relationship,x_mitre_platforms,1,False,1,True
What technique has been employed in the Operation Sharpshooter?,single_hop_not_filter,uses_attack_pattern,13,False,13,True
How can Tomiris be identified and removed from a network?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,17,False,17,True
What security features do Get2 methods frequently undermine?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,1,False,1,True
What kind of platform is Program Upload most commonly associated with?,intra_relationship,x_mitre_platforms,3,False,3,True
Can you identify the security measures that techniques used by the APT-C-23 can evade?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,2,False,2,True
What strategy does the Responder use?,single_hop_not_filter,uses_attack_pattern,3,False,3,True
What crucial step can be taken to prevent the installation of Final1stspy on a system?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,17,False,17,True
What are the steps involved in identifying and removing Trojan-SMS.AndroidOS.OpFake.a?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,2,False,2,True
What platforms do the techniques employed by the APT41 typically target?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,12,False,12,True
What security measures are vulnerable to Execution Guardrails?,intra_relationship,x_mitre_defense_bypassed,2,False,2,True
What technique does the BlackTech employ?,single_hop_not_filter,uses_attack_pattern,14,False,14,True
"What asset is at the center of the attack pattern that utilizes PowerShell scripts, a distinguishing feature of the PACEMAKER?",multi_hop_relationship,uses_attack_pattern<SEP>filter PowerShell<SEP>targets,3,False,3,True
What key component of cybersecurity helps to prevent and mitigate the attacks of NanoCore?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,37,False,37,True
What platform is Abuse Elevation Control Mechanism specifically tailored for?,intra_relationship,x_mitre_platforms,2,False,2,True
What kind of platform is Install Digital Certificate most commonly associated with?,intra_relationship,x_mitre_platforms,1,False,1,True
"What asset is typically compromised by the attack pattern involving PowerShell scripts, which is used by the Bandook?",multi_hop_relationship,uses_attack_pattern<SEP>filter PowerShell<SEP>targets,6,False,6,True
What type of platform is Email Addresses typically designed for?,intra_relationship,x_mitre_platforms,1,False,1,True
Which security protocols are often bypassed by ANDROIDOS_ANSERVER.A exploits?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,1,False,1,True
What are the repercussions of a modular backdoor's involvement in a Machete campaign?,multi_hop_relationship,is_responsible<SEP>uses_malware<SEP>filter modular and backdoor<SEP>uses_attack_pattern<SEP>x_mitre_impact_type,0,True,0,True
What is the RAT software of choice for C0021?,single_hop_relationship_filter,uses_malware<SEP>filter RAT,1,False,1,True
Which platform does Hardcoded Credentials target or operate on?,intra_relationship,x_mitre_platforms,2,False,2,True
What proactive measure can be taken to protect against DarkGate attacks?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,71,False,71,True
What is the Cobalt Group's preferred method of operation?,single_hop_not_filter,uses_attack_pattern,44,False,44,True
How does the APT41 operate?,single_hop_not_filter,uses_attack_pattern,90,False,90,True
What asset is usually targeted by the attack pattern that utilizes PowerShell scripts as a tool of the Flame?,multi_hop_relationship,uses_attack_pattern<SEP>filter PowerShell<SEP>targets,6,False,6,True
What characteristics does the Power Loader exhibit?,single_hop_not_filter,uses_attack_pattern,1,False,1,True
What types of platforms or systems are vulnerable to the spyware techniques used by TA505?,multihop_one_entity_filter,uses_malware<SEP>filter spyware<SEP>uses_attack_pattern<SEP>x_mitre_platforms,11,False,11,True
What sets the behaviors of CALENDAR and WARPWIRE apart from one another?,common_and_differences,is_malware_type<SEP>select CALENDAR WARPWIRE<SEP>uses_attack_pattern<SEP>exec_difference attack_pattern,9,False,9,True
What countermeasures are ineffective against Group Policy Modification?,intra_relationship,x_mitre_defense_bypassed,1,False,1,True
In what ways does Bootkit evade the defenses put in place?,intra_relationship,x_mitre_defense_bypassed,1,False,1,True
"What asset is at the center of the attack pattern that utilizes PowerShell scripts, a distinguishing feature of the Milan?",multi_hop_relationship,uses_attack_pattern<SEP>filter PowerShell<SEP>targets,6,False,6,True
What are the consequences of a modular backdoor's actions within a PittyTiger campaign?,multi_hop_relationship,is_responsible<SEP>uses_malware<SEP>filter modular and backdoor<SEP>uses_attack_pattern<SEP>x_mitre_impact_type,0,True,0,True
How do the attacks carried out by malware utilized by groups involved in Operation Dream Job affect the target systems?,multi_hop_relationship,attributed_to<SEP>uses_malware<SEP>uses_attack_pattern<SEP>x_mitre_impact_type,1,True,1,True
